id,lesson_id,title,text,position,kind
314,51,"Prova SCORM",,1,cover
315,51,"Titolo di Prova",,2,title
316,51,"Solo testo",,"<p class='size4'>
<span>Qui va scritto solamente del testo</span>
</p>
<p class='size4'>&nbsp;</p>
<p class='size2'>
<span style='color: #0000ff;'>e questa &egrave; la formula integrale di Cauchy in analisi complessa:</span>
</p>
<p class='size4'>
<span>
  <img class='Wirisformula' src='../../../../assets/tinymce/plugins/tiny_mce_wiris/integration/showimage.php?formula=6c5937c3bf3c625b2819ea267bbe13fd.png' alt='f left parenthesis a right parenthesis thin space equal thin space fraction numerator 1 over denominator 2 italic pi i end fraction contour integral subscript italic gamma fraction numerator f left parenthesis italic zeta right parenthesis over denominator italic zeta space minus space a end fraction d italic zeta'/>
</span>
</p>",3,text
317,51,"Impariamo ad apprezzare i pony","<p class='size3'>
<span>Kevin Strootman &egrave; diventato una delle chiavi del centrocampo perfetto della Roma di Rudi Garcia. Si sta ambientando al meglio nella nuova realt&agrave; giallorossa e dal ritiro della nazionale olandese si &egrave; soffermato su questo inizio di campionato e l'attesissima sfida con il Napoli di venerd&igrave; 18 ottobre, allo stadio Olimpico (calcio d'inizio ore 20.45)</span>
</p>",4,image1
318,51,,,5,image3
319,51,,,6,image2
320,51,,,7,image4
323,51,"E qui proviamo l'audio","<p class='size2'>
<span><strong>Grazie presidente Paul Biya, foss&rsquo;anche solo per questa volta: invitato a un&rsquo;udienza nel palazzo presidenziale del Camerun, Samuel Eto&rsquo;o ha accettato di continuare a giocare per i Leoni indomabili e promesso di portarli ai Mondiali di calcio del 2014. Al centravanti del Chelsea, riferisce il portale d&rsquo;informazione Misna, Biya ha chiesto di &ldquo;accompagnare la selezione nazionale&rdquo; ai Mondiali. Nel concreto si tratta di giocare e vincere. A partire dall&rsquo;andata dello spareggio in programma sabato in Tunisia contro le Aquile di Cartagine. Chi ha la meglio nei 180 minuti va in Brasile, chi perde guarda le partite in televisione. Il rischio era che Eto&rsquo;o, gi&agrave; trentaduenne ma ancora il miglior giocatore del Camerun, disertasse la gara con la Tunisia. Il centravanti aveva annunciato il ritiro il mese scorso, dopo la vittoria nel gruppo di qualificazione a spese della Libia. Da Yaound&eacute; a Douala, per&ograve;, i tifosi avevano continuato a sperare. Ricordavano la rottura con la nazionale del 2011, quando Eto&rsquo;o aveva guidato uno sciopero contro la federazione calcio ed era stato squalificato per otto mesi. Ma ricordavano anche il palmares di Biya; presidente padrone dal 1982, gi&agrave; intervenuto a palla ferma quando si trattava di portare ai Mondiali italiani un grande vecchio che voleva ritirarsi, Roger Milla.</strong></span>
</p>",8,audio
321,51,,,8,video2
322,51,"Prova con video e documento","<p>Il futuro? Io non sono uno che si accontenta di quanto ha raggiunto. Voglio sempre qualcosa di nuovo. Le mie gambe sono a posto, come all'inizio della carriera. Tranne alcuni leggeri malanni, nella mia attivit&agrave; agonistica n<span style='text-decoration: underline;'>on ho mai patito infortuni gravi. Io sono davvero in ordine sotto il profilo del fisico. In tutti i test biofisici risulto sempre tra coloro che ottengono i migliori risultati. Questo mi d&agrave; conferme. Vivo come ho sempre vissuto: senza alcol, sono attento all'alimentazione e vado a letto presto. Queste sono state le mie regole fin dall'inizio perch&eacute; ho sempre mirato a migliorarmi, a puntare in alto. Adesso che ho pi&ugrave; di 30 anni, ho la soddisfazione di tenere il passo degli altri. Il che per me &egrave; veramente bello</span></p>",9,video1
